experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765620460044","B","1","4124","2786","38587","","","0","0","false","false","false","Sat Dec 13 2025 19:49:25 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4085","2240","24238","","","0","0","false","false","false","Sat Dec 13 2025 19:50:55 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4216","4096","45078","","","0","0","false","false","false","Sat Dec 13 2025 19:51:00 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","2","2595","2046","23787","","","0","0","false","false","false","Sat Dec 13 2025 19:51:19 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4085","2376","24981","","","0","0","false","false","false","Sat Dec 13 2025 19:51:25 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4808","4096","48437","","","0","0","false","false","false","Sat Dec 13 2025 19:52:07 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","5446","4096","44256","","","0","0","false","false","false","Sat Dec 13 2025 19:52:24 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4081","2448","25801","","","0","0","false","false","false","Sat Dec 13 2025 19:52:33 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4078","2319","22427","","","0","0","false","false","false","Sat Dec 13 2025 19:52:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","2","2512","1825","18962","","","0","0","false","false","false","Sat Dec 13 2025 19:52:52 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","2","2718","1581","19350","","","0","0","false","false","false","Sat Dec 13 2025 19:54:23 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4421","4096","43835","","","0","0","false","false","false","Sat Dec 13 2025 19:53:36 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","5115","4096","40455","","","0","0","false","false","false","Sat Dec 13 2025 19:53:44 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4081","2438","27624","","","0","0","false","false","false","Sat Dec 13 2025 19:54:03 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4080","2398","30570","","","0","0","false","false","false","Sat Dec 13 2025 19:54:14 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4861","4096","50957","","","0","0","false","false","false","Sat Dec 13 2025 19:55:14 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4779","4096","43153","","","0","0","false","false","false","Sat Dec 13 2025 19:55:20 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4127","2824","28132","","","0","0","false","false","false","Sat Dec 13 2025 19:55:42 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4116","2401","25341","","","0","0","false","false","false","Sat Dec 13 2025 19:55:45 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","5652","4096","44799","","","0","0","false","false","false","Sat Dec 13 2025 19:56:42 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4674","4096","44909","","","0","0","false","false","false","Sat Dec 13 2025 19:56:43 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","1","4078","1094","8577","","","0","0","false","false","false","Sat Dec 13 2025 19:56:52 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","2","1536","1300","5716","","","0","0","false","false","false","Sat Dec 13 2025 20:00:28 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","1","4080","1153","9280","","","0","0","false","false","false","Sat Dec 13 2025 20:00:32 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","1","4062","1277","10512","","","0","0","false","false","false","Sat Dec 13 2025 20:01:59 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","1","4086","1100","9321","","","0","0","false","false","false","Sat Dec 13 2025 20:02:03 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","3","3007","1356","7789","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:59:35 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","3","3270","1601","7488","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:59:37 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","1","4149","1260","9578","","","0","0","false","false","false","Sat Dec 13 2025 19:59:44 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","C","1","4079","1198","9234","","","0","0","false","false","false","Sat Dec 13 2025 19:59:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","3028","1600","26518","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:39:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4116","1006","9695","","","0","0","false","false","false","Sat Dec 13 2025 20:39:56 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","4262","3298","36316","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:39:59 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","3817","2493","38427","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:43:37 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4126","1068","11688","","","0","0","false","false","false","Sat Dec 13 2025 20:43:48 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","2","2264","565","8398","","","0","0","false","false","false","Sat Dec 13 2025 20:46:02 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4058","1204","27517","","","0","0","false","false","false","Sat Dec 13 2025 20:44:26 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","4083","2978","36660","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:44:30 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","4213","2587","19801","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:46:21 GMT+0900 (Japan Standard Time)"
