experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765528462706","D","3","2778","4040","76993","","","0","0","false","false","false","Fri Dec 12 2025 22:13:37 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2554","3038","48855","","","0","0","false","false","false","Fri Dec 12 2025 22:19:32 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2806","3879","62438","","","0","0","false","false","false","Fri Dec 12 2025 22:22:41 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2734","2762","39114","","","0","0","false","false","false","Fri Dec 12 2025 22:25:15 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2494","3009","45958","","","0","0","false","false","false","Fri Dec 12 2025 22:27:53 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2799","3123","46814","","","0","0","false","false","false","Fri Dec 12 2025 22:33:16 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2641","2012","25859","","","0","0","false","false","false","Fri Dec 12 2025 22:35:16 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2548","2973","49387","","","0","0","false","false","false","Fri Dec 12 2025 22:37:45 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3817","2921","42587","","","0","0","false","false","false","Fri Dec 12 2025 22:52:07 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","2643","1693","17864","","","0","0","false","false","false","Fri Dec 12 2025 22:52:55 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","2374","1295","20797","","","0","0","false","false","false","Fri Dec 12 2025 22:53:56 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3348","2403","39370","","","0","0","false","false","false","Fri Dec 12 2025 22:54:57 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","4528","3337","44217","","","0","0","false","false","false","Fri Dec 12 2025 22:59:11 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3158","2265","24926","","","0","0","false","false","false","Fri Dec 12 2025 23:05:24 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3588","2804","34147","","","0","0","false","false","false","Fri Dec 12 2025 23:08:44 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3420","2715","49190","","","0","0","false","false","false","Fri Dec 12 2025 23:15:08 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","3449","2170","26394","","","0","0","false","false","false","Fri Dec 12 2025 23:15:58 GMT+0900 (Japan Standard Time)"
